question,answer,era
岩宿遺跡を発見した人物は？,相沢忠洋,旧石器時代
細石刃文化の石器は？,細石刃,旧石器時代
縄文時代の貝塚の代表例は？,大森貝塚,縄文時代
縄文土器の初期様式は？,隆線文土器,縄文時代
弥生時代の青銅器祭器は？,銅鐸,弥生時代
『魏志倭人伝』に記された女王は？,卑弥呼,弥生時代
弥生時代の環濠集落は？,吉野ヶ里遺跡,弥生時代
前方後円墳の代表例は？,大仙古墳,古墳時代
雄略天皇の別称は？,ワカタケル大王,古墳時代
古墳文化の埴輪の用途は？,副葬・祭祀,古墳時代
仏教公伝の年は？,538年,飛鳥時代
乙巳の変の首謀者は？,中大兄皇子,飛鳥時代
遣隋使を派遣した人物は？,小野妹子,飛鳥時代
大宝律令の編纂者は？,藤原不比等,奈良時代
三世一身法の内容は？,新開地一代私有,奈良時代
正倉院宝物の文化は？,天平文化,奈良時代
東大寺大仏の建立者は？,聖武天皇,奈良時代
摂関政治の最盛期の人物は？,藤原道長,平安時代
国風文化の代表文学は？,源氏物語,平安時代
遣唐使廃止を建議した人物は？,菅原道真,平安時代
院政を開始した人物は？,白河上皇,平安時代
鎌倉幕府の初代将軍は？,源頼朝,鎌倉時代
御成敗式目の制定者は？,北条泰時,鎌倉時代
元寇時の執権は？,北条時宗,鎌倉時代
六波羅探題の設置契機は？,承久の乱,鎌倉時代
室町幕府の3代将軍は？,足利義満,室町時代
日明貿易の別名は？,勘合貿易,室町時代
土一揆の別名は？,徳政一揆,室町時代
東山文化の中心人物は？,足利義政,室町時代
楽市楽座を実施した人物は？,織田信長,安土桃山時代
太閤検地の基準は？,石高制,安土桃山時代
刀狩令を出した人物は？,豊臣秀吉,安土桃山時代
南蛮貿易の相手は？,ポルトガル,安土桃山時代
江戸幕府の初代将軍は？,徳川家康,江戸時代
参勤交代を制度化した将軍は？,徳川家光,江戸時代
鎖国完成の年は？,1639年,江戸時代
元禄文化の特徴は？,町人文化,江戸時代
享保の改革の主導者は？,徳川吉宗,江戸時代
寛政の改革の主導者は？,松平定信,江戸時代
天保の改革の主導者は？,水野忠邦,江戸時代
化政文化の担い手は？,町人,江戸時代
蘭学の発展に貢献した人物は？,杉田玄白,江戸時代